ID	status	slug	title	category	canonical_url	classification	reason	content_len	images	hrefs	blocks	reusable_meta	related_meta	seo_score	analytic_id
14582	publish	affiliate-guide	Affiliate Guide		https://localdev.beyourlover.com/docs/affiliate-guide/	review	published document has empty post_content; preserve identity but owner review required before canonical takeover	0	0.0000	0.0000	0	NULL	a:0:{}	4	480
14598	publish	affiliate-documentation	Affiliate Documentation	affiliate	https://localdev.beyourlover.com/docs/affiliate/affiliate-documentation/	preserve	identity/content/status/taxonomy/meta can remain in place	115	0.0000	0.0000	1	a:0:{}	a:0:{}	9	481
14600	publish	getting-started	Getting Started	affiliate	https://localdev.beyourlover.com/docs/affiliate/getting-started/	preserve	identity/content/status/taxonomy/meta can remain in place	505	0.0000	2.0000	1	a:0:{}	a:0:{}	13	482
14609	publish	guide-of-beyourlover-app	Guide of BeYourLover App	app	https://localdev.beyourlover.com/docs/app/guide-of-beyourlover-app/	preserve	identity/content/status/taxonomy/meta can remain in place	226	0.0000	1.0000	1	a:0:{}	a:0:{}	12	483
14614	publish	affiliate-login	Affiliate Login	affiliate	https://localdev.beyourlover.com/docs/affiliate/affiliate-login/	preserve	identity/content/status/taxonomy/meta can remain in place	1013	2.0000	0.0000	1	a:0:{}	a:0:{}	10	484
14619	publish	affiliate-register-guide	Affiliate Register Guide	affiliate	https://localdev.beyourlover.com/docs/affiliate/affiliate-register-guide/	preserve	identity/content/status/taxonomy/meta can remain in place	2299	5.0000	0.0000	1	a:0:{}	a:0:{}	14	485
14671	publish	affiliate-link-creation	How to create my own affiliate link?	affiliate	https://localdev.beyourlover.com/docs/affiliate/affiliate-link-creation/	preserve	identity/content/status/taxonomy/meta can remain in place	2040	5.0000	0.0000	1	a:0:{}	a:0:{}	15	487
18990	draft	shipping-info	Shipping Info		https://localdev.beyourlover.com/docs/shipping-info/	preserve	identity/content/status/taxonomy/meta can remain in place; uncategorized canonical route already supported; retain draft status	0	0.0000	0.0000	0	NULL	a:0:{}	4	618
24381	publish	shipping-info-noticement	How will the shipping info be noticed via email?	shipping	https://localdev.beyourlover.com/docs/shipping/shipping-info-noticement/	preserve	identity/content/status/taxonomy/meta can remain in place	1325	1.0000	0.0000	1	a:0:{}	a:0:{}	10	693
24458	publish	points-system-faq	? Points System FAQ - Get More Rewards!	points	https://localdev.beyourlover.com/docs/points/points-system-faq/	preserve	identity/content/status/taxonomy/meta can remain in place	10234	0.0000	7.0000	1	a:0:{}	a:0:{}	18	696
24481	publish	payment-methods	What payment methods do you accept?	payment	https://localdev.beyourlover.com/docs/payment/payment-methods/	preserve	identity/content/status/taxonomy/meta can remain in place	1121	0.0000	1.0000	1	a:0:{}	a:0:{}	13	698
24483	publish	cancel-my-order	When &amp; How Can I Cancel My Order?	payment	https://localdev.beyourlover.com/docs/payment/cancel-my-order/	preserve	identity/content/status/taxonomy/meta can remain in place	1807	0.0000	2.0000	1	a:0:{}	a:0:{}	13	699
24484	publish	discount-code	How to Use Your Discount Code	payment	https://localdev.beyourlover.com/docs/payment/discount-code/	map	non-empty BetterDocs related-articles configuration requires native Related Docs mapping	1800	1.0000	0.0000	1	a:0:{}	"a:1:{i:0;s:226:""{""index"":0,""mode"":""selected"",""label"":""All"",""docId"":""all-docs"",""categoryLabel"":""Payment"",""selectedCategory"":1245,""selectedDocs"":[{""label"":""All"",""value"":""all-docs""},{""label"":""What payment methods do you accept?"",""value"":24481}]}"";}"	10	700
24490	publish	where-to-get-coupons	Where to Get Coupons for BeYourLover	payment	https://localdev.beyourlover.com/docs/payment/where-to-get-coupons/	preserve	identity/content/status/taxonomy/meta can remain in place	1896	0.0000	1.0000	1	a:0:{}	a:0:{}	13	701
24492	publish	my-personal-information	Is It Safe to Share My Personal Information?	payment	https://localdev.beyourlover.com/docs/payment/my-personal-information/	preserve	identity/content/status/taxonomy/meta can remain in place	1621	0.0000	0.0000	1	a:0:{}	a:0:{}	7	702
24497	publish	collect-your-information	Why We Collect Your Information (It’s All About Serving You Better!)	payment	https://localdev.beyourlover.com/docs/payment/collect-your-information/	preserve	identity/content/status/taxonomy/meta can remain in place	1652	0.0000	1.0000	1	a:0:{}	a:0:{}	14	703
24498	publish	my-credit-card-details	Will My Credit Card Details Be Stored?	payment	https://localdev.beyourlover.com/docs/payment/my-credit-card-details/	preserve	identity/content/status/taxonomy/meta can remain in place	2889	0.0000	2.0000	1	a:0:{}	a:0:{}	17	704
24502	publish	cookies-help-you	Why Do We Use Cookies? (And How They Help You!)	payment	https://localdev.beyourlover.com/docs/payment/cookies-help-you/	preserve	identity/content/status/taxonomy/meta can remain in place	3342	0.0000	1.0000	1	a:0:{}	a:0:{}	10	705
24504	publish	what-currency	What Currency Is Used on Your Website?	payment	https://localdev.beyourlover.com/docs/payment/what-currency/	preserve	identity/content/status/taxonomy/meta can remain in place	1810	0.0000	1.0000	1	a:0:{}	a:0:{}	10	706
24509	publish	payment-failed	? Payment Failed? Try This!	payment	https://localdev.beyourlover.com/docs/payment/payment-failed/	preserve	identity/content/status/taxonomy/meta can remain in place	3332	0.0000	1.0000	1	a:0:{}	a:0:{}	13	707
24514	publish	havent-received-order-emails	Why Haven't I Received Order Emails?	shipping	https://localdev.beyourlover.com/docs/shipping/havent-received-order-emails/	preserve	identity/content/status/taxonomy/meta can remain in place	4386	0.0000	3.0000	1	a:0:{}	a:0:{}	17	708
24517	publish	high-risk-order	Why my order detected high risk of fraud? (For Your Protection)	payment	https://localdev.beyourlover.com/docs/payment/high-risk-order/	preserve	identity/content/status/taxonomy/meta can remain in place	3269	0.0000	1.0000	1	a:0:{}	a:0:{}	13	709
24538	publish	i-havent-received-my-order	I haven't received my order	shipping	https://localdev.beyourlover.com/docs/shipping/i-havent-received-my-order/	map	non-empty BetterDocs related-articles configuration requires native Related Docs mapping	3589	0.0000	3.0000	1	a:0:{}	"a:2:{i:0;s:303:""{""index"":0,""mode"":""selected"",""label"":""All"",""docId"":""all-docs"",""categoryLabel"":""Shipping"",""selectedCategory"":1241,""selectedDocs"":[{""label"":""All"",""value"":""all-docs""},{""label"":""Why Haven't I Received Order Emails?"",""value"":24514},{""label"":""How will the shipping info be noticed via email?"",""value"":24381}]}"";i:1;s:927:""{""index"":1,""mode"":""selected"",""label"":""All"",""docId"":""all-docs"",""categoryLabel"":""Payment"",""selectedCategory"":1245,""selectedDocs"":[{""label"":""All"",""value"":""all-docs""},{""label"":""Why my order detected high risk of fraud? (For Your Protection)"",""value"":24517},{""label"":""? Payment Failed? Try This!"",""value"":24509},{""label"":""What Currency Is Used on Your Website?"",""value"":24504},{""label"":""Why Do We Use Cookies? (And How They Help You!)"",""value"":24502},{""label"":""Will My Credit Card Details Be Stored?"",""value"":24498},{""label"":""Why We Collect Your Information (It’s All About Serving You Better!)"",""value"":24497},{""label"":""Is It Safe to Share My Personal Information?"",""value"":24492},{""label"":""Where to Get Coupons for BeYourLover"",""value"":24490},{""label"":""How to Use Your Discount Code"",""value"":24484},{""label"":""When &amp; How Can I Cancel My Order?"",""value"":24483},{""label"":""What payment methods do you accept?"",""value"":24481}]}"";}"	17	712
24704	publish	how-to-track-my-order	How to track my order from email system?	shipping	https://localdev.beyourlover.com/docs/shipping/how-to-track-my-order/	preserve	identity/content/status/taxonomy/meta can remain in place	5310	4.0000	3.0000	1	a:0:{}	a:0:{}	23	721
25686	publish	change-shipping-address	I put in the wrong shipping address by mistake. Is there anyway I could fix this?	shipping	https://localdev.beyourlover.com/docs/shipping/change-shipping-address/	preserve	identity/content/status/taxonomy/meta can remain in place	1254	0.0000	1.0000	1	a:0:{}	a:0:{}	13	768
26840	publish	artist-collaboration-tutorial	Artist Collaboration Tutorial	affiliate	https://localdev.beyourlover.com/docs/affiliate/artist-collaboration-tutorial/	preserve	identity/content/status/taxonomy/meta can remain in place	21049	0.0000	1.0000	1	a:0:{}	a:0:{}	9	788
34158	publish	i-placed-an-order-first-and-created-an-account-later-but-i-cant-see-my-order-history-why	I placed an order first and created an account later, but I can't see my order history. Why?	shipping	https://localdev.beyourlover.com/docs/shipping/i-placed-an-order-first-and-created-an-account-later-but-i-cant-see-my-order-history-why/	preserve	identity/content/status/taxonomy/meta can remain in place	697	0.0000	1.0000	1	a:0:{}	a:0:{}	4	993
34160	publish	i-ordered-multiple-items-but-only-some-are-being-shipped-is-the-missing-item-on-backorder	I ordered multiple items, but only some are being shipped. Is the missing item on backorder?	shipping	https://localdev.beyourlover.com/docs/shipping/i-ordered-multiple-items-but-only-some-are-being-shipped-is-the-missing-item-on-backorder/	preserve	identity/content/status/taxonomy/meta can remain in place	664	0.0000	1.0000	1	a:0:{}	a:0:{}	9	994
34774	publish	how-to-delete-my-account	How to delete my account?		https://localdev.beyourlover.com/docs/how-to-delete-my-account/	preserve	identity/content/status/taxonomy/meta can remain in place; uncategorized canonical route already supported	2784	0.0000	2.0000	1	a:0:{}	a:0:{}	10	1009
